Genus,CPR,eDNA,difference,broad_group,taxonomy_summary
Acartia,44.44444444444444,56.470588235294116,12.026143790849673,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Braarudosphaera,11.11111111111111,92.94117647058823,81.83006535947712,Phytoplankton,Haptophyta / Prymnesiophyceae
Calanus,38.888888888888886,21.176470588235293,-17.712418300653592,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Candacia,16.666666666666668,5.882352941176471,-10.784313725490197,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Centropages,75,40,-35,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Chaetoceros,44.44444444444444,70.58823529411765,26.14379084967321,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Clausocalanus,58.333333333333336,91.76470588235294,33.431372549019606,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Ctenocalanus,5.555555555555555,21.176470588235293,15.620915032679738,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Dinophysis,19.444444444444443,8.235294117647058,-11.209150326797385,Phytoplankton,Dinoflagellata / Dinophyceae; Myzozoa / Dinophyceae
Euchaeta,2.7777777777777777,2.3529411764705883,-0.42483660130718937,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Euterpina,5.555555555555555,15.294117647058824,9.738562091503269,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Eutintinnus,22.22222222222222,75.29411764705883,53.071895424836605,Zooplankton,Ciliophora / Spirotrichea; Ciliophora / Oligotrichea
Evadne,52.77777777777778,76.47058823529412,23.692810457516337,Zooplankton,Arthropoda / Branchiopoda
Gonyaulax,16.666666666666668,42.35294117647059,25.68627450980392,Phytoplankton,Dinoflagellata / Dinophyceae; Myzozoa / Dinophyceae
Heterorhabdus,5.555555555555555,4.705882352941177,-0.8496732026143787,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Isias,5.555555555555555,1.1764705882352942,-4.379084967320261,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Leptocylindrus,25,28.235294117647058,3.235294117647058,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Lucicutia,8.333333333333334,9.411764705882353,1.0784313725490193,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Mecynocera,2.7777777777777777,1.1764705882352942,-1.6013071895424835,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Nannocalanus,33.333333333333336,62.35294117647059,29.01960784313725,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Neocalanus,13.88888888888889,1.1764705882352942,-12.712418300653596,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Nitzschia,5.555555555555555,64.70588235294117,59.15032679738562,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Oithona,55.55555555555556,97.6470588235294,42.09150326797385,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Oncaea,13.88888888888889,31.764705882352942,17.875816993464053,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Paracalanus,52.77777777777778,100,47.22222222222222,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Parafavella,5.555555555555555,84.70588235294117,79.15032679738562,Zooplankton,Ciliophora / Spirotrichea; Ciliophora / Oligotrichea
Paralia,5.555555555555555,7.0588235294117645,1.5032679738562091,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Pleuromamma,22.22222222222222,14.117647058823529,-8.104575163398692,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Podon,8.333333333333334,4.705882352941177,-3.6274509803921573,Zooplankton,Arthropoda / Branchiopoda
Prorocentrum,47.22222222222222,100,52.77777777777778,Phytoplankton,Dinoflagellata / Dinophyceae; Myzozoa / Dinophyceae
Protoperidinium,47.22222222222222,92.94117647058823,45.71895424836601,Phytoplankton,Dinoflagellata / Dinophyceae; Myzozoa / Dinophyceae
Pseudocalanus,5.555555555555555,10.588235294117647,5.032679738562091,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Pterosperma,2.7777777777777777,91.76470588235294,88.98692810457517,Phytoplankton,Dinoflagellata / Dinophyceae; Chlorophyta / Prasinophyceae
Rhabdonella,41.666666666666664,35.294117647058826,-6.372549019607838,Zooplankton,Ciliophora / Spirotrichea; Ciliophora / Oligotrichea
Rhizosolenia,41.666666666666664,11.764705882352942,-29.901960784313722,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Salpingella,41.666666666666664,50.588235294117645,8.92156862745098,Zooplankton,Ciliophora / Spirotrichea; Ciliophora / Oligotrichea
Scrippsiella,16.666666666666668,98.82352941176471,82.15686274509804,Phytoplankton,Dinoflagellata / Dinophyceae; Myzozoa / Dinophyceae
Skeletonema,2.7777777777777777,21.176470588235293,18.398692810457515,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
Temora,22.22222222222222,10.588235294117647,-11.633986928104575,Zooplankton,Arthropoda / Hexanauplia; Arthropoda / Copepoda
Thalassiosira,16.666666666666668,64.70588235294117,48.0392156862745,Phytoplankton,Ochrophyta / Bacillariophyceae; Bacillariophyta / Bacillariophyceae
